Samples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Date,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,
Time,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,
Y_Unit_Label,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,Deg F,
X_Dimension,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,
X0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,
Delta_X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
***End_of_Header***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_Value,L1 Power,L2 Power,L1+L2 Power,L1-N Amps,L2-N Amps,N Amps,L1-N Volts,L2-N Volts,L1-L2 Volts,L3 N Amps,L3 Power,L3-N Volts,room ambient,power cord strain relief,power cord at separation,power cord ind conductor,power switch body top,internal wiring by tank,terminal block body,hi limit body,circuit breaker body 40a,circuit break body 4a,inlet valve windings,T12,element end seal,ambient near 24vdc power supply,body of bypass valve windings,body of brew valve windings,lock solenoid windings,ambient near electronic control,spin motor,solid state relay,ptc lead,ptc hi limit,brew basket handle plastic,brew basket handle metal,hot lead at heating element,1_12,1_13,1_14,1_15,1_16,1_17,Temperature,Comment
0,0,0,0,0,0.029288,0,0,0,0,0.004824,0,0,75.893761,75.136864,76.932782,76.706801,78.846495,83.926404,76.40334,88.141391,79.626376,78.730684,76.056514,-101676.9802,92.57745,77.037726,83.799841,84.973712,84.470019,85.274997,75.854218,80.265777,82.874982,83.519721,76.952554,77.112635,90.257487,-101689.9723,-101689.9723,-101689.9723,-101689.9723,-101689.9723,-101689.9723,-101689.9723,
0,0,0,0,0,0.028665,0,0,0,0,0.005316,0,0,75.697566,75.25561,76.731885,76.510792,78.603739,83.747142,76.363776,88.030041,79.622656,78.512133,76.060606,-101654.9764,92.218818,77.100658,83.971281,84.986324,84.537044,84.973031,75.858459,80.372073,82.857934,83.454081,76.923864,76.988067,90.171682,-101675.1541,-101675.1541,-101675.1541,-101675.1541,-101675.1541,-101675.1541,-101675.1541,
0,0,0,0,0,0.028534,0,0,0,0,0.004882,0,0,75.643794,74.856558,76.511016,76.53284,78.331992,83.592597,75.930631,88.024167,79.570772,78.587121,75.783104,-101631.7055,92.123601,77.130097,83.712248,84.833631,84.667118,85.260798,76.080493,80.386368,82.975591,83.630874,77.088014,77.412621,90.512841,-101725.16,-101725.16,-101725.16,-101725.16,-101725.16,-101725.16,-101725.16,
0,0,0,0,0,0.028247,0,0,0,0,0.00489,0,0,75.780037,74.87783,76.781738,76.389353,78.352767,83.651224,76.128212,87.990264,79.548846,78.678949,75.862871,-101642.4423,92.334503,76.949672,84.085616,84.942738,84.643108,85.309765,76.046354,80.335592,82.981368,83.728117,77.136213,77.158021,90.659147,-101728.354,-101728.354,-101728.354,-101728.354,-101728.354,-101728.354,-101728.354,
0,2551.582832,2427.937406,4979.520238,26.132555,25.768004,0.005521,97.640008,94.222951,204.049583,0.004414,0,0,75.85543,74.964853,76.635982,76.851692,78.722873,83.419627,75.920126,87.917911,80.738731,78.915885,75.757347,-101632.8983,91.557844,77.064055,83.50336,84.456532,84.655601,85.12455,76.212219,80.169809,83.032709,83.545422,77.193253,77.335189,90.61403,-101706.4024,-101706.4024,-101706.4024,-101706.4024,-101706.4024,-101706.4024,-101706.4024,
0,2338.993905,2236.451943,4575.445848,23.927043,23.689115,0.005545,97.755245,94.408421,204.159962,0.004357,0,0,76.013905,74.931686,76.978293,77.051545,78.63892,83.555067,76.243365,87.908809,80.933994,79.027812,76.010609,-101661.6592,91.927479,77.15524,83.635112,84.502062,84.905941,85.36049,76.419729,80.157028,83.287604,83.856101,77.089081,77.412042,91.044084,-101748.3721,-101748.3721,-101748.3721,-101748.3721,-101748.3721,-101748.3721,-101748.3721,
0,2339.326903,2236.258248,4575.585151,23.912372,23.676461,0.004832,97.829143,94.450698,204.202494,0.004341,0,0,75.828471,74.943229,76.976639,77.184446,78.391194,83.395355,76.049741,87.994134,80.659884,79.064754,75.862263,-101622.3515,92.369082,76.784836,83.331221,84.484512,84.692711,85.213003,76.074621,80.130029,83.169591,83.689166,77.117537,77.417864,91.69703,-101719.481,-101719.481,-101719.481,-101719.481,-101719.481,-101719.481,-101719.481,
0,2341.015817,2235.19194,4576.207757,23.906267,23.668995,0.004718,97.924777,94.435441,204.306054,0.004267,0,0,76.08018,75.1189,77.462491,77.36089,78.562461,83.726935,76.278319,88.089162,81.161265,79.095906,76.114785,-101664.5623,93.473705,77.235415,83.834319,84.760617,84.629158,85.112391,75.981998,79.993144,83.333091,83.632073,76.987578,77.251747,92.620352,-101695.8134,-101695.8134,-101695.8134,-101695.8134,-101695.8134,-101695.8134,-101695.8134,
0,2342.489571,2234.269093,4576.758664,23.903652,23.666528,0.004832,97.997141,94.40629,204.387198,0.004152,0,0,75.800005,75.044263,77.503639,77.565742,78.433893,83.482737,76.177008,88.053833,81.076094,79.153807,75.921159,-101645.8387,93.926666,77.25189,83.419017,84.642761,84.642896,85.23537,76.289595,80.190249,83.756488,83.894488,77.122832,77.332249,93.456898,-101705.7708,-101705.7708,-101705.7708,-101705.7708,-101705.7708,-101705.7708,-101705.7708,
0,2344.427714,2232.563379,4576.991092,23.903242,23.666323,0.00557,98.079904,94.335034,204.468,0.004259,0,0,76.208542,75.311324,77.991523,77.908896,78.699076,83.778218,76.492719,88.309583,81.73632,79.35762,76.252204,-101697.6603,95.224279,77.467261,83.817823,84.903594,84.775687,85.365624,76.24164,80.163423,84.226158,83.972286,77.021839,77.218937,94.531803,-101712.3613,-101712.3613,-101712.3613,-101712.3613,-101712.3613,-101712.3613,-101712.3613,
0,2345.606394,2231.730078,4577.336472,23.903357,23.665593,0.00525,98.128743,94.30273,204.526642,0.004169,0,0,75.800133,74.962302,77.692118,77.509524,78.425392,83.497975,76.394608,87.936936,81.182297,78.923611,75.783648,-101616.1904,95.803498,77.117885,83.432623,84.438505,84.472781,85.125301,75.99175,79.993418,84.657168,84.167151,76.936408,77.180021,95.543703,-101690.4821,-101690.4821,-101690.4821,-101690.4821,-101690.4821,-101690.4821,-101690.4821,
0,2346.561255,2232.314124,4578.875378,23.90389,23.66738,0.005357,98.166502,94.320289,204.577186,0.004406,0,0,76.210645,75.284977,78.361441,78.264467,78.890905,83.99831,76.676397,88.385579,81.978619,79.63054,76.377044,-101698.2882,97.207254,77.443448,84.023618,84.89385,84.528158,85.02164,76.112768,80.180707,85.293954,84.358025,77.066346,77.251091,96.948429,-101703.1839,-101703.1839,-101703.1839,-101703.1839,-101703.1839,-101703.1839,-101703.1839,
0,2346.176691,2233.273642,4579.450333,23.902857,23.667159,0.004406,98.154654,94.361713,204.569174,0.0043,0,0,75.856651,75.142203,78.267671,78.302188,78.795551,83.932913,76.642554,88.174275,81.88647,79.245122,76.178844,-101660.8078,97.764301,77.234387,83.709581,84.741653,84.605416,85.060938,75.993863,80.307141,85.691831,84.564623,76.972678,77.157444,97.926225,-101693.5861,-101693.5861,-101693.5861,-101693.5861,-101693.5861,-101693.5861,-101693.5861,
0,2344.644837,2234.204223,4578.84906,23.899931,23.66411,0.005382,98.102576,94.413194,204.509765,0.004152,0,0,76.163314,75.135315,78.676159,78.662194,78.732017,84.100803,76.915597,88.448569,82.175441,79.541135,76.210273,-101686.456,98.774078,77.588261,83.849752,84.993383,84.768869,85.426056,76.294479,80.357867,86.257834,84.817808,76.986152,77.402533,98.896666,-101714.2423,-101714.2423,-101714.2423,-101714.2423,-101714.2423,-101714.2423,-101714.2423,
0,2343.329525,2235.746406,4579.075931,23.89676,23.662586,0.004505,98.060555,94.48445,204.454704,0.003857,0,0,76.18056,75.179803,78.404568,78.934827,78.826419,84.055034,76.992504,88.433488,82.392572,79.347799,76.173557,-101652.8721,99.329369,77.378442,83.639004,84.86366,84.52955,85.534161,76.016121,80.207116,86.679237,84.695163,77.077215,77.306801,99.820163,-101704.1925,-101704.1925,-101704.1925,-101704.1925,-101704.1925,-101704.1925,-101704.1925,
0,2342.752559,2237.070385,4579.822944,23.896858,23.662766,0.004357,98.036008,94.539683,204.398363,0.004226,0,0,76.194145,75.143088,78.492068,78.85762,78.612019,84.156246,77.092905,88.439977,82.551634,79.445051,76.290118,-101652.6935,100.430198,77.533088,83.860712,84.733962,84.752296,85.311274,76.011623,80.431801,86.908756,85.107866,76.88094,77.39281,100.993303,-101709.0603,-101709.0603,-101709.0603,-101709.0603,-101709.0603,-101709.0603,-101709.0603,
0,2342.204814,2238.417123,4580.621937,23.898481,23.664061,0.004373,98.006431,94.59142,204.379612,0.003882,0,0,76.226352,75.070987,78.868374,79.305594,78.934074,84.389333,77.1366,88.600051,82.917587,79.644543,76.321498,-101680.274,101.614184,77.466947,83.925701,84.968117,84.624305,85.532646,76.166197,80.631068,87.417234,85.072479,77.010254,77.270303,101.905002,-101696.7945,-101696.7945,-101696.7945,-101696.7945,-101696.7945,-101696.7945,-101696.7945,
0,2342.485401,2238.267496,4580.752897,23.898268,23.662586,0.0038,98.019046,94.590994,204.378674,0.004128,0,0,76.153886,74.858573,78.844179,79.417667,78.744385,84.127379,77.228386,88.722295,83.090488,79.586316,76.2338,-101650.9506,102.551983,77.298326,83.914303,84.904131,84.714687,85.524328,76.204748,80.825941,87.854455,85.509659,76.982923,77.297697,102.617318,-101706.6555,-101706.6555,-101706.6555,-101706.6555,-101706.6555,-101706.6555,-101706.6555,
0,2342.774039,2238.305412,4581.079452,23.897825,23.66143,0.004636,98.032939,94.597216,204.390692,0.003939,0,0,75.845622,75.171583,79.03668,79.607988,78.839588,84.384397,77.270688,88.832239,83.404595,79.82213,76.307454,-101661.0937,103.475522,77.468963,83.778275,85.014151,84.732908,85.590612,76.215323,80.849569,87.989641,85.420688,76.865078,77.142453,103.691636,-101683.7397,-101683.7397,-101683.7397,-101683.7397,-101683.7397,-101683.7397,-101683.7397,
0,2344.593008,2236.759235,4581.352243,23.897202,23.662184,0.004587,98.111611,94.528858,204.476524,0.003882,0,0,75.853247,75.071979,79.285649,79.826439,78.903034,84.630603,77.496728,88.931081,83.751124,79.776805,76.467041,-101660.3431,104.024965,77.551017,83.922192,84.987446,84.680293,85.705506,76.24045,80.840146,88.304084,85.860304,77.193473,77.345694,104.921877,-101702.8265,-101702.8265,-101702.8265,-101702.8265,-101702.8265,-101702.8265,-101702.8265,
0,2346.09361,2234.632704,4580.726313,23.896014,23.658226,0.005562,98.179287,94.454789,204.560821,0.003972,0,0,76.048737,75.208677,79.44999,79.93121,78.870364,84.722557,77.743241,89.073716,84.103611,79.740067,76.432219,-101655.0817,105.047289,77.45331,83.803567,84.869374,85.013111,85.642409,76.191072,81.373051,88.663129,85.972363,76.998067,77.282393,105.515704,-101701.2471,-101701.2471,-101701.2471,-101701.2471,-101701.2471,-101701.2471,-101701.2471,
0,2347.409894,2233.075785,4580.485679,23.895211,23.660766,0.004882,98.237673,94.378845,204.616223,0.004242,0,0,76.135586,75.056821,79.738759,80.298941,79.329258,84.875414,78.012854,89.367408,84.729413,80.139864,76.456025,-101694.9115,106.1323,77.650643,84.103125,85.122091,84.935332,85.687325,76.168105,81.231062,88.985952,86.317762,77.100635,77.267271,106.53268,-101710.106,-101710.106,-101710.106,-101710.106,-101710.106,-101710.106,-101710.106,
0,2347.856344,2233.009288,4580.865633,23.894137,23.658758,0.004333,98.260772,94.384044,204.653556,0.004005,0,0,76.328607,75.02036,79.697983,80.532013,78.991254,85.127229,78.055851,89.348992,84.915215,80.179474,76.546454,-101673.7589,106.639185,77.692424,84.14786,85.002881,84.881782,85.756449,76.145726,81.336168,89.04751,86.525233,77.183618,77.300873,107.068798,-101712.8171,-101712.8171,-101712.8171,-101712.8171,-101712.8171,-101712.8171,-101712.8171,
0,2347.36533,2233.639548,4581.004879,23.892891,23.659389,0.003628,98.245344,94.408165,204.639322,0.004283,0,0,76.139782,74.892718,79.753193,80.568727,79.067447,85.237531,78.316643,89.582068,85.110752,80.218253,76.566458,-101657.3783,107.676493,77.638794,84.087284,85.188615,84.900331,85.908585,76.173939,81.507915,89.252227,86.731763,76.847188,77.197808,107.835813,-101702.6087,-101702.6087,-101702.6087,-101702.6087,-101702.6087,-101702.6087,-101702.6087,
0,2345.604249,2235.203462,4580.807712,23.891818,23.655431,0.004464,98.176048,94.490076,204.559627,0.004324,0,0,76.165019,75.176616,79.954694,80.761842,79.090545,85.22011,78.549291,89.647067,85.689162,80.323313,76.585094,-101672.3317,108.174433,77.77912,84.021675,85.122682,84.838834,85.665471,76.190497,81.609515,89.405664,86.663885,76.882666,77.373144,108.539729,-101706.2492,-101706.2492,-101706.2492,-101706.2492,-101706.2492,-101706.2492,-101706.2492,
0,2343.562959,2237.772495,4581.335454,23.891498,23.655242,0.004152,98.091922,94.599432,204.482575,0.003865,0,0,76.231369,75.229846,80.20937,81.092874,79.273243,85.448788,78.516046,89.781732,86.155954,80.411066,76.771209,-101694.6926,109.339116,77.837122,84.211084,85.31878,84.870294,85.909131,76.169136,81.944344,89.880636,86.907673,77.209468,77.239091,109.57152,-101716.3371,-101716.3371,-101716.3371,-101716.3371,-101716.3371,-101716.3371,-101716.3371,
0,2343.101801,2239.096611,4582.198412,23.893129,23.657857,0.004414,98.065925,94.644947,204.418479,0.004316,0,0,76.194563,75.074628,80.175605,81.168089,79.394171,85.667863,78.599292,89.695214,86.575113,80.436745,76.230812,-101657.7301,110.205742,77.737476,84.037888,85.120122,85.191425,86.044604,76.313152,82.107439,90.016709,87.348829,76.942666,77.468483,110.073722,-101732.9215,-101732.9215,-101732.9215,-101732.9215,-101732.9215,-101732.9215,-101732.9215,
0,2344.305814,2238.22174,4582.527554,23.893113,23.659053,0.004587,98.116384,94.603182,204.468938,0.003964,0,0,76.209073,75.074308,80.213008,81.316423,79.110639,85.51353,78.604724,89.870074,87.011797,80.486023,76.410889,-101650.0647,111.154519,77.889282,84.21797,85.365191,85.160324,86.206144,76.324152,82.290166,90.147116,87.391812,76.994401,77.383217,111.036687,-101714.7765,-101714.7765,-101714.7765,-101714.7765,-101714.7765,-101714.7765,-101714.7765,
0,2346.172652,2236.071671,4582.244323,23.891613,23.657193,0.004218,98.200681,94.519738,204.555195,0.00398,0,0,75.999012,74.833849,80.259789,81.227196,79.021182,85.857017,78.992853,89.850654,87.343714,80.473769,76.475585,-101627.8157,111.926646,77.894258,83.960056,85.184258,85.064046,86.344095,76.198869,82.591487,90.385756,87.44135,77.172512,77.289356,111.559927,-101711.7571,-101711.7571,-101711.7571,-101711.7571,-101711.7571,-101711.7571,-101711.7571,
0,2347.867691,2233.799807,4581.667498,23.890564,23.657136,0.004537,98.275943,94.423934,204.642816,0.004119,0,0,76.184432,75.157285,80.598803,82.022547,79.484619,86.474338,79.616329,90.414912,87.937226,80.804505,76.69672,-101703.5342,112.994095,78.286807,84.536302,85.553129,85.162291,86.248824,76.244586,82.846577,90.256882,87.621444,77.189787,77.337895,112.390182,-101721.3896,-101721.3896,-101721.3896,-101721.3896,-101721.3896,-101721.3896,-101721.3896,
0,2348.330155,2233.093395,4581.423549,23.888474,23.654587,0.004742,98.3039,94.404245,204.686798,0.004078,0,0,76.191133,75.252248,80.698902,81.964966,79.480625,86.088082,79.392806,90.427987,88.436602,80.953328,76.729764,-101670.7762,113.667615,78.302531,84.330373,85.538977,84.985827,86.210212,76.207171,82.75549,90.186023,87.773938,76.918671,77.206726,112.931745,-101683.2282,-101683.2282,-101683.2282,-101683.2282,-101683.2282,-101683.2282,-101683.2282,
0,2347.820505,2234.521156,4582.341662,23.890146,23.657472,0.003857,98.275688,94.453084,204.656795,0.004308,0,0,75.933163,75.147431,80.889356,81.847053,79.352932,86.364882,79.508053,90.607812,88.995589,80.873789,76.373532,-101644.9671,114.36651,78.065749,84.332756,85.282163,85.085879,86.289768,76.250586,83.037672,90.704019,87.860259,77.012669,77.122129,113.746706,-101686.5327,-101686.5327,-101686.5327,-101686.5327,-101686.5327,-101686.5327,-101686.5327,
0,2346.654929,2236.268198,4582.923127,23.892604,23.658611,0.003087,98.21679,94.52238,204.574799,0.004054,0,0,76.015004,75.026014,80.853971,82.071534,79.474662,86.41643,79.672018,90.522988,89.171565,81.150947,76.407561,-101652.7958,115.086077,78.152728,84.380752,85.579099,85.21601,86.629738,76.240377,83.704837,90.922007,88.195961,77.188463,77.440642,114.396377,-101730.5626,-101730.5626,-101730.5626,-101730.5626,-101730.5626,-101730.5626,-101730.5626,
0,2344.597308,2238.074908,4582.672215,23.888654,23.656841,0.004439,98.146898,94.605825,204.494849,0.004193,0,0,76.232403,75.216448,81.174586,82.47512,79.63621,86.739873,80.114865,90.767149,89.858575,81.276555,76.728195,-101685.8131,115.862231,78.214259,84.662943,85.589172,85.288312,86.41743,76.217054,83.848715,90.916085,88.259891,77.128134,77.387324,114.812241,-101712.3004,-101712.3004,-101712.3004,-101712.3004,-101712.3004,-101712.3004,-101712.3004,
0,2343.205497,2239.048544,4582.254041,23.886671,23.653259,0.003988,98.09678,94.661312,204.452147,0.003947,0,0,75.871436,75.200303,81.104901,82.66069,79.677586,86.853742,80.214849,90.991859,90.235108,81.366578,76.647444,-101670.4265,116.509872,78.272141,84.509911,85.639227,85.425919,86.507645,76.443426,83.931033,91.028918,88.444953,77.12963,77.547175,115.377782,-101734.4531,-101734.4531,-101734.4531,-101734.4531,-101734.4531,-101734.4531,-101734.4531,
0,2344.106304,2238.443112,4582.549416,23.885269,23.653849,0.00312,98.14025,94.633355,204.467574,0.003956,0,0,75.951408,75.116614,81.450134,82.943181,79.866725,87.054333,80.451008,91.204053,90.549182,81.453818,76.945912,-101682.8029,117.211819,78.425024,84.891303,85.673076,85.288994,86.547141,76.17408,84.186974,90.995729,88.425068,76.998787,77.459174,116.090419,-101696.0111,-101696.0111,-101696.0111,-101696.0111,-101696.0111,-101696.0111,-101696.0111,
0,2346.318412,2236.519172,4582.837584,23.887458,23.652735,0.0033,98.223865,94.556474,204.565935,0.004169,0,0,76.063966,75.162884,81.636881,82.919961,80.030031,87.183346,80.69616,91.240969,90.851038,81.587352,76.85791,-101682.9963,117.9455,78.251704,84.689097,85.720411,85.338637,86.621945,76.157107,84.384396,91.144652,88.703952,76.976481,77.353787,116.374605,-101700.0583,-101700.0583,-101700.0583,-101700.0583,-101700.0583,-101700.0583,-101700.0583,
0,2347.885238,2233.835382,4581.72062,23.884901,23.652644,0.003996,98.299979,94.443367,204.659182,0.003906,0,0,76.022228,74.791495,81.466461,82.776775,79.850269,87.324743,80.635796,91.501916,91.220603,81.512313,76.730176,-101640.6532,118.564914,78.32431,84.573127,85.757358,85.346449,86.926779,76.19219,84.763024,91.29815,89.085169,77.225088,77.524967,117.106976,-101719.2506,-101719.2506,-101719.2506,-101719.2506,-101719.2506,-101719.2506,-101719.2506,
0,2348.2293,2232.980535,4581.209835,23.883327,23.65053,0.004742,98.320862,94.415666,204.691145,0.004021,0,0,75.960189,75.142313,81.686457,83.211782,80.249858,87.489998,80.938348,91.577361,91.761061,81.813329,76.780986,-101677.2639,119.446331,78.408306,84.767455,85.898473,85.494514,86.885412,76.184083,84.824328,91.072375,88.866128,77.123591,77.252374,117.510193,-101702.9291,-101702.9291,-101702.9291,-101702.9291,-101702.9291,-101702.9291,-101702.9291,
0,2347.717407,2234.199857,4581.917264,23.884974,23.650186,0.003923,98.292649,94.468597,204.660971,0.00407,0,0,75.80065,74.982208,81.701127,83.27341,80.030836,87.446837,81.11073,91.904208,92.24515,81.722,76.792859,-101647.9202,119.946383,78.364278,84.940298,85.782318,85.362363,86.850312,76.254408,85.183834,91.330553,88.976827,77.074923,77.39172,118.031287,-101701.933,-101701.933,-101701.933,-101701.933,-101701.933,-101701.933,-101701.933,
0,2345.331663,2236.647084,4581.978748,23.882655,23.649014,0.003693,98.202301,94.57676,204.564656,0.004242,0,0,75.99565,75.209151,81.990536,83.411577,80.265463,87.924126,81.21853,91.970232,92.399287,81.879649,76.901615,-101671.2617,120.447098,78.573071,84.986463,86.125747,85.657596,87.12511,76.400007,85.394362,91.626202,89.167774,77.117518,77.428952,118.759341,-101730.6138,-101730.6138,-101730.6138,-101730.6138,-101730.6138,-101730.6138,-101730.6138,
0,2344.001079,2238.70968,4582.710759,23.883409,23.64985,0.003751,98.143489,94.660631,204.47158,0.004169,0,0,76.027211,74.914894,82.283686,83.499642,80.312856,87.75856,81.510715,92.161373,93.009796,81.826698,76.927382,-101663.2755,121.227729,78.539224,85.024628,86.084864,85.90996,87.255869,76.293547,85.727877,91.583919,89.340827,77.276544,77.327145,119.235694,-101708.6513,-101708.6513,-101708.6513,-101708.6513,-101708.6513,-101708.6513,-101708.6513,
0,2344.809047,2237.931717,4582.740764,23.883925,23.649063,0.004505,98.175196,94.630884,204.510447,0.004587,0,0,75.997629,75.140608,82.158191,83.477259,80.481411,88.104045,81.269229,92.127888,93.281733,82.037916,76.84638,-101645.5374,121.913247,78.757412,85.001062,86.071914,85.658472,87.327295,76.436721,85.966021,91.953156,89.678972,77.10359,77.546647,119.727152,-101721.5233,-101721.5233,-101721.5233,-101721.5233,-101721.5233,-101721.5233,-101721.5233,
0,2346.293528,2235.778072,4582.0716,23.880221,23.647604,0.003906,98.252589,94.545649,204.599773,0.003996,0,0,76.083797,75.054054,82.521432,84.135487,80.697855,88.317781,81.788371,92.653529,93.823235,82.408977,77.113535,-101686.0125,122.762456,78.896686,85.061871,86.167261,85.544594,87.228683,76.185279,85.925907,91.697279,89.439063,77.097216,77.222711,120.262987,-101680.3878,-101680.3878,-101680.3878,-101680.3878,-101680.3878,-101680.3878,-101680.3878,
0,2347.84003,2234.112366,4581.952397,23.881024,23.648022,0.003718,98.314043,94.47354,204.673671,0.004169,0,0,76.272168,75.193576,82.530543,84.01846,80.609867,88.485226,82.120733,92.729625,94.255537,82.471252,77.130934,-101691.8695,123.616025,78.953878,85.284156,86.250437,85.627233,87.304249,76.30795,86.364379,91.680211,89.591502,77.216053,77.331246,120.657583,-101708.5602,-101708.5602,-101708.5602,-101708.5602,-101708.5602,-101708.5602,-101708.5602,
